id,user_id,order_date,status
1,273,2022-10-20,placed
2,70,2022-10-16,completed
3,110,2022-10-19,shipped
4,238,2022-10-24,returned
5,288,2022-10-12,completed
6,281,2022-10-15,completed
7,9,2022-10-21,returned
8,48,2022-10-12,completed
9,8,2022-10-13,completed
10,173,2022-10-13,return_pending
11,213,2022-10-19,placed
12,106,2022-10-12,placed
13,172,2022-10-24,return_pending
14,186,2022-10-17,placed
15,270,2022-10-12,return_pending
16,192,2022-10-22,shipped
17,215,2022-10-23,placed
18,214,2022-10-19,return_pending
19,152,2022-10-16,returned
20,107,2022-10-22,shipped
21,17,2022-10-17,shipped
22,84,2022-10-21,return_pending
23,50,2022-10-20,shipped
24,151,2022-10-23,shipped
25,224,2022-10-12,placed
26,126,2022-10-15,completed
27,4,2022-10-16,return_pending
28,177,2022-10-22,return_pending
29,14,2022-10-16,completed
30,26,2022-10-14,shipped
31,292,2022-10-18,return_pending
32,182,2022-10-12,returned
33,60,2022-10-17,completed
34,126,2022-10-12,shipped
35,174,2022-10-13,placed
36,192,2022-10-15,placed
37,5,2022-10-17,returned
38,250,2022-10-22,return_pending
39,12,2022-10-15,returned
40,1,2022-10-22,shipped
41,150,2022-10-16,placed
42,137,2022-10-18,return_pending
43,229,2022-10-14,returned
44,111,2022-10-24,placed
45,295,2022-10-12,completed
46,46,2022-10-12,returned
47,247,2022-10-24,returned
48,137,2022-10-20,placed
49,269,2022-10-21,return_pending
50,188,2022-10-14,shipped
51,249,2022-10-23,placed
52,214,2022-10-13,returned
53,173,2022-10-17,shipped
54,123,2022-10-21,completed
55,55,2022-10-19,returned
56,36,2022-10-19,completed
57,161,2022-10-19,return_pending
58,286,2022-10-21,completed
59,201,2022-10-23,returned
60,56,2022-10-22,shipped
61,44,2022-10-19,completed
62,190,2022-10-20,return_pending
63,200,2022-10-21,shipped
64,106,2022-10-21,completed
65,170,2022-10-24,shipped
66,222,2022-10-12,return_pending
67,187,2022-10-12,placed
68,180,2022-10-12,placed
69,131,2022-10-14,completed
70,33,2022-10-14,placed
71,90,2022-10-19,return_pending
72,297,2022-10-16,returned
73,164,2022-10-17,placed
74,243,2022-10-24,placed
75,276,2022-10-20,returned
76,199,2022-10-18,completed
77,22,2022-10-15,placed
78,244,2022-10-16,placed
79,98,2022-10-18,completed
80,113,2022-10-23,shipped
81,156,2022-10-13,returned
82,42,2022-10-18,placed
83,244,2022-10-22,return_pending
84,217,2022-10-23,placed
85,117,2022-10-16,returned
86,272,2022-10-13,completed
87,90,2022-10-19,completed
88,17,2022-10-17,return_pending
89,73,2022-10-23,completed
90,97,2022-10-13,shipped
91,80,2022-10-14,return_pending
92,251,2022-10-23,completed
93,38,2022-10-18,completed
94,276,2022-10-12,returned
95,172,2022-10-12,placed
96,55,2022-10-21,placed
97,20,2022-10-20,return_pending
98,49,2022-10-18,return_pending
99,156,2022-10-15,returned
100,287,2022-10-19,return_pending
101,190,2022-10-23,placed
102,49,2022-10-13,returned
103,130,2022-10-13,shipped
104,227,2022-10-19,shipped
105,121,2022-10-16,shipped
106,250,2022-10-12,placed
107,252,2022-10-23,placed
108,138,2022-10-16,return_pending
109,213,2022-10-18,placed
110,80,2022-10-16,return_pending
111,185,2022-10-18,return_pending
112,138,2022-10-23,return_pending
113,162,2022-10-20,returned
114,259,2022-10-21,placed
115,186,2022-10-16,return_pending
116,219,2022-10-24,returned
117,258,2022-10-18,placed
118,82,2022-10-23,shipped
119,76,2022-10-15,shipped
120,43,2022-10-14,placed
121,237,2022-10-16,return_pending
122,154,2022-10-22,returned
123,184,2022-10-17,completed
124,195,2022-10-22,shipped
125,75,2022-10-19,placed
126,62,2022-10-17,returned
127,94,2022-10-22,placed
128,296,2022-10-17,completed
129,216,2022-10-23,completed
130,290,2022-10-20,return_pending
131,118,2022-10-16,placed
132,188,2022-10-20,completed
133,133,2022-10-17,completed
134,147,2022-10-18,shipped
135,290,2022-10-20,shipped
136,83,2022-10-17,return_pending
137,223,2022-10-18,shipped
138,163,2022-10-20,returned
139,84,2022-10-12,shipped
140,193,2022-10-12,completed
141,92,2022-10-20,shipped
142,278,2022-10-15,returned
143,225,2022-10-12,completed
144,239,2022-10-21,completed
145,71,2022-10-24,completed
146,121,2022-10-20,returned
147,291,2022-10-18,returned
148,100,2022-10-23,returned
149,127,2022-10-21,completed
150,69,2022-10-17,completed
151,296,2022-10-21,placed
152,118,2022-10-17,shipped
153,273,2022-10-13,completed
154,29,2022-10-24,placed
155,188,2022-10-23,return_pending
156,149,2022-10-21,return_pending
157,187,2022-10-14,returned
158,189,2022-10-19,returned
159,258,2022-10-14,placed
160,223,2022-10-14,returned
161,160,2022-10-23,returned
162,5,2022-10-16,return_pending
163,287,2022-10-12,completed
164,141,2022-10-12,completed
165,118,2022-10-13,placed
166,299,2022-10-12,placed
167,92,2022-10-17,returned
168,254,2022-10-24,completed
169,284,2022-10-14,returned
170,276,2022-10-24,shipped
171,54,2022-10-21,returned
172,215,2022-10-13,placed
173,9,2022-10-24,placed
174,52,2022-10-12,placed
175,39,2022-10-20,completed
176,199,2022-10-22,placed
177,289,2022-10-19,completed
178,220,2022-10-16,shipped
179,31,2022-10-14,placed
180,115,2022-10-20,shipped
181,229,2022-10-16,shipped
182,257,2022-10-15,shipped
183,99,2022-10-14,completed
184,213,2022-10-16,return_pending
185,97,2022-10-23,return_pending
186,211,2022-10-22,returned
187,64,2022-10-13,return_pending
188,86,2022-10-16,shipped
189,27,2022-10-24,placed
190,36,2022-10-24,completed
191,142,2022-10-15,completed
192,147,2022-10-21,return_pending
193,183,2022-10-16,shipped
194,274,2022-10-14,placed
195,297,2022-10-12,return_pending
196,182,2022-10-12,shipped
197,261,2022-10-22,completed
198,30,2022-10-24,completed
199,250,2022-10-12,completed
200,52,2022-10-20,placed
201,117,2022-10-20,return_pending
202,273,2022-10-13,return_pending
203,278,2022-10-20,placed
204,235,2022-10-24,placed
205,214,2022-10-13,shipped
206,248,2022-10-12,completed
207,19,2022-10-22,return_pending
208,177,2022-10-23,returned
209,234,2022-10-15,shipped
210,293,2022-10-24,shipped
211,198,2022-10-18,returned
212,142,2022-10-23,shipped
213,260,2022-10-18,completed
214,126,2022-10-22,shipped
215,94,2022-10-23,return_pending
216,211,2022-10-21,completed
217,6,2022-10-15,shipped
218,237,2022-10-15,shipped
219,133,2022-10-16,returned
220,71,2022-10-21,shipped
221,82,2022-10-15,returned
